"ユーザー名","メールアドレス","最終ログイン","ログイン回数","メール送信数","メール受信数","OneDrive使用量GB","アクティブステータス","MFA状態","リスクレベル"
"井上雅人","user20@contoso.com","2025-07-09 16:00:16","92","37","118","46.97","アクティブ","有効","低"
"渡辺健一","user21@contoso.com","2025-06-27 16:00:16","46","18","324","11.36","アクティブ","無効","低"
"高橋美咲","user22@contoso.com","2025-07-11 16:00:16","88","31","227","45.68","アクティブ","有効","低"
"中村真理","user23@contoso.com","2025-06-23 16:00:16","158","15","157","31.06","アクティブ","有効","低"
"井上雅人","user24@contoso.com","2025-07-03 16:00:16","38","38","277","28.56","アクティブ","有効","中"
"木村優子","user25@contoso.com","2025-06-22 16:00:16","156","66","382","10.22","アクティブ","有効","低"
"小林秀樹","user26@contoso.com","2025-07-02 16:00:16","178","19","452","28.65","アクティブ","有効","低"
"中村真理","user27@contoso.com","2025-07-02 16:00:16","29","126","347","22.91","非アクティブ","有効","中"
"木村優子","user28@contoso.com","2025-06-30 16:00:16","37","82","358","5.83","アクティブ","有効","低"
"松本由美","user29@contoso.com","2025-07-04 16:00:16","113","7","454","4.98","非アクティブ","無効","低"
"渡辺健一","user30@contoso.com","2025-07-02 16:00:16","13","88","474","22.23","アクティブ","無効","低"
"高橋美咲","user31@contoso.com","2025-07-11 16:00:16","140","143","477","9.12","アクティブ","有効","低"
"吉田昌子","user32@contoso.com","2025-06-21 16:00:16","183","101","188","28.54","アクティブ","無効","高"
"渡辺健一","user33@contoso.com","2025-06-17 16:00:16","119","36","326","43.99","アクティブ","有効","中"
"山田和也","user34@contoso.com","2025-06-28 16:00:16","186","21","94","17.79","アクティブ","無効","高"
"佐藤次郎","user35@contoso.com","2025-07-02 16:00:16","54","130","398","30.96","非アクティブ","有効","低"
"中村真理","user36@contoso.com","2025-07-02 16:00:16","139","72","494","42.49","アクティブ","有効","低"
"鈴木花子","user37@contoso.com","2025-06-27 16:00:16","43","83","235","32.35","非アクティブ","有効","高"
"中村真理","user38@contoso.com","2025-07-08 16:00:16","110","100","230","48.7","アクティブ","有効","低"
"松本由美","user39@contoso.com","2025-07-12 16:00:16","109","45","157","6.29","アクティブ","有効","低"
"山田和也","user40@contoso.com","2025-07-03 16:00:16","65","78","225","36.28","アクティブ","無効","高"
"山田和也","user41@contoso.com","2025-06-23 16:00:16","75","22","32","38.07","非アクティブ","有効","低"
"佐藤次郎","user42@contoso.com","2025-06-16 16:00:16","80","41","374","4.99","アクティブ","有効","中"
"高橋美咲","user43@contoso.com","2025-06-29 16:00:16","193","61","21","37.51","アクティブ","有効","低"
"山本健二","user44@contoso.com","2025-06-19 16:00:16","145","69","60","43.76","アクティブ","有効","低"
"田中太郎","user45@contoso.com","2025-06-20 16:00:16","14","105","74","31.57","アクティブ","有効","高"
"佐藤次郎","user46@contoso.com","2025-07-11 16:00:16","195","148","39","46.65","アクティブ","有効","低"
"鈴木花子","user47@contoso.com","2025-07-04 16:00:16","186","25","262","16.34","アクティブ","無効","中"
"山本健二","user48@contoso.com","2025-06-28 16:00:16","144","11","221","38.35","アクティブ","無効","低"
"木村優子","user49@contoso.com","2025-07-04 16:00:16","101","38","328","14.79","アクティブ","有効","中"
"山本健二","user50@contoso.com","2025-07-10 16:00:16","186","72","275","0.44","アクティブ","有効","高"
"山田和也","user51@contoso.com","2025-06-16 16:00:16","43","13","373","20.58","アクティブ","有効","低"
"木村優子","user52@contoso.com","2025-07-02 16:00:16","77","125","270","47.13","アクティブ","有効","低"
"木村優子","user53@contoso.com","2025-06-16 16:00:16","183","101","355","17.13","アクティブ","無効","中"
"高橋美咲","user54@contoso.com","2025-07-14 16:00:16","173","61","73","46.68","アクティブ","有効","中"
"井上雅人","user55@contoso.com","2025-07-07 16:00:16","196","83","429","30.49","非アクティブ","有効","高"
"小林秀樹","user56@contoso.com","2025-06-30 16:00:16","184","109","355","46.47","アクティブ","有効","中"
"佐藤次郎","user57@contoso.com","2025-06-28 16:00:16","183","139","292","23.75","非アクティブ","有効","低"
"佐藤次郎","user58@contoso.com","2025-07-11 16:00:16","58","38","171","29.57","アクティブ","有効","高"
"高橋美咲","user59@contoso.com","2025-06-20 16:00:16","111","91","417","23.9","アクティブ","有効","中"
"伊藤光子","user60@contoso.com","2025-07-13 16:00:16","103","8","62","10.49","アクティブ","有効","低"
"渡辺健一","user61@contoso.com","2025-07-06 16:00:16","59","101","332","25.52","非アクティブ","無効","低"
"鈴木花子","user62@contoso.com","2025-06-27 16:00:16","139","137","422","23.43","アクティブ","無効","中"
"小林秀樹","user63@contoso.com","2025-06-23 16:00:16","46","75","446","10.88","非アクティブ","有効","高"
"田中太郎","user64@contoso.com","2025-07-07 16:00:16","116","40","322","20.37","アクティブ","有効","低"
"井上雅人","user65@contoso.com","2025-06-28 16:00:16","164","51","325","37.15","アクティブ","有効","低"
"田中太郎","user66@contoso.com","2025-06-28 16:00:16","194","141","285","21.95","非アクティブ","有効","高"
"松本由美","user67@contoso.com","2025-07-08 16:00:16","64","121","211","25.3","アクティブ","有効","高"
"小林秀樹","user68@contoso.com","2025-06-18 16:00:16","79","90","151","16.46","非アクティブ","有効","中"
"吉田昌子","user69@contoso.com","2025-07-07 16:00:16","34","137","429","46.86","アクティブ","無効","高"
"渡辺健一","user70@contoso.com","2025-06-22 16:00:16","173","142","123","38.8","アクティブ","有効","中"
"伊藤光子","user71@contoso.com","2025-07-13 16:00:16","10","139","239","3.73","非アクティブ","有効","中"
"佐藤次郎","user72@contoso.com","2025-07-11 16:00:16","17","63","326","40.64","アクティブ","無効","低"
"渡辺健一","user73@contoso.com","2025-07-13 16:00:16","59","40","456","12.05","アクティブ","有効","高"
"松本由美","user74@contoso.com","2025-07-15 16:00:16","61","62","232","5.96","アクティブ","有効","高"
"高橋美咲","user75@contoso.com","2025-07-08 16:00:16","124","74","376","0.65","アクティブ","有効","低"
"井上雅人","user76@contoso.com","2025-06-20 16:00:16","95","101","476","48.09","アクティブ","有効","低"
"山田和也","user77@contoso.com","2025-06-30 16:00:16","115","50","249","38.21","非アクティブ","無効","高"
"山本健二","user78@contoso.com","2025-06-24 16:00:16","196","128","32","20.44","アクティブ","有効","中"
"高橋美咲","user79@contoso.com","2025-06-23 16:00:16","25","76","75","43.95","アクティブ","有効","低"
"加藤明美","user80@contoso.com","2025-06-17 16:00:16","79","141","248","45.01","非アクティブ","有効","低"
"井上雅人","user81@contoso.com","2025-06-23 16:00:16","17","87","146","10.61","アクティブ","有効","高"
"山田和也","user82@contoso.com","2025-06-29 16:00:16","109","64","222","13.9","非アクティブ","有効","低"
"井上雅人","user83@contoso.com","2025-06-22 16:00:16","123","97","295","27.21","アクティブ","有効","中"
"松本由美","user84@contoso.com","2025-06-19 16:00:16","11","56","99","12.31","アクティブ","有効","低"
"鈴木花子","user85@contoso.com","2025-06-25 16:00:16","109","145","148","7.42","アクティブ","有効","高"
"山本健二","user86@contoso.com","2025-06-26 16:00:16","108","116","22","48.57","アクティブ","無効","低"
"木村優子","user87@contoso.com","2025-07-11 16:00:16","121","126","493","3.79","アクティブ","有効","高"
"小林秀樹","user88@contoso.com","2025-06-24 16:00:16","22","80","232","9.47","アクティブ","無効","低"
"吉田昌子","user89@contoso.com","2025-06-21 16:00:16","102","66","307","18.74","アクティブ","有効","低"
"田中太郎","user90@contoso.com","2025-07-10 16:00:16","179","16","472","8.86","非アクティブ","有効","中"
"井上雅人","user91@contoso.com","2025-07-12 16:00:16","105","123","406","27.29","アクティブ","有効","中"
"伊藤光子","user92@contoso.com","2025-07-01 16:00:16","10","89","261","45.8","アクティブ","有効","低"
"木村優子","user93@contoso.com","2025-06-24 16:00:16","154","70","208","5.09","アクティブ","無効","低"
"木村優子","user94@contoso.com","2025-07-02 16:00:16","52","16","329","13.96","アクティブ","無効","中"
"中村真理","user95@contoso.com","2025-06-19 16:00:16","189","142","311","10.31","アクティブ","有効","高"
"松本由美","user96@contoso.com","2025-06-21 16:00:16","85","149","459","40.1","非アクティブ","無効","低"
"田中太郎","user97@contoso.com","2025-07-11 16:00:16","171","67","421","31.61","アクティブ","無効","低"
"松本由美","user98@contoso.com","2025-06-17 16:00:16","146","43","409","11.19","非アクティブ","有効","中"
"佐藤次郎","user99@contoso.com","2025-06-26 16:00:16","197","143","100","2.91","アクティブ","無効","低"
"木村優子","user100@contoso.com","2025-07-13 16:00:16","100","84","490","32.11","アクティブ","有効","低"
