"ユーザー名","メールアドレス","メールボックスサイズGB","クォータGB","使用率","アイテム数","送信メール数_日","受信メール数_日","スパムメール数_日","アーカイブ有効","訴訟ホールド","最終アクセス"
"井上雅人","user33@contoso.com","24.52","50","49","33785","15","131","32","有効","無効","2025-07-11 16:00:18"
"松本由美","user34@contoso.com","37.49","50","75","39157","97","179","29","無効","有効","2025-07-09 16:00:18"
"山本健二","user35@contoso.com","46.3","50","92.6","10009","93","94","28","有効","無効","2025-07-13 16:00:18"
"田中太郎","user36@contoso.com","22.64","50","45.3","40414","73","24","23","無効","無効","2025-07-09 16:00:18"
"吉田昌子","user37@contoso.com","45.87","50","91.7","28910","22","31","10","有効","有効","2025-07-11 16:00:18"
"山田和也","user38@contoso.com","33.4","50","66.8","12753","96","156","33","無効","無効","2025-07-13 16:00:18"
"加藤明美","user39@contoso.com","7.79","50","15.6","37781","50","154","23","無効","無効","2025-07-15 16:00:18"
"井上雅人","user40@contoso.com","46.88","50","93.8","23885","70","50","17","無効","有効","2025-07-14 16:00:18"
"小林秀樹","user41@contoso.com","17.48","50","35","5429","39","116","10","無効","無効","2025-07-14 16:00:18"
"伊藤光子","user42@contoso.com","40.1","50","80.2","21952","23","90","23","無効","無効","2025-07-10 16:00:18"
"鈴木花子","user43@contoso.com","24.37","50","48.7","44022","10","186","17","無効","有効","2025-07-15 16:00:18"
"渡辺健一","user44@contoso.com","6.31","50","12.6","45350","16","152","6","有効","無効","2025-07-15 16:00:18"
"吉田昌子","user45@contoso.com","1.26","50","2.5","20890","8","47","27","有効","無効","2025-07-12 16:00:18"
"吉田昌子","user46@contoso.com","43.4","50","86.8","13207","10","79","47","有効","無効","2025-07-09 16:00:18"
"中村真理","user47@contoso.com","31.72","50","63.4","39752","66","164","7","有効","有効","2025-07-13 16:00:18"
"伊藤光子","user48@contoso.com","28.14","50","56.3","39904","19","136","8","有効","無効","2025-07-13 16:00:18"
"中村真理","user49@contoso.com","30.48","50","61","42057","19","63","26","無効","無効","2025-07-10 16:00:18"
"田中太郎","user50@contoso.com","48.87","50","97.7","47280","89","41","38","有効","無効","2025-07-09 16:00:18"
"山本健二","user51@contoso.com","10.87","50","21.7","17762","51","145","6","有効","無効","2025-07-14 16:00:18"
"山本健二","user52@contoso.com","19.7","50","39.4","37042","25","93","32","有効","無効","2025-07-13 16:00:18"
"鈴木花子","user53@contoso.com","16.38","50","32.8","10980","37","119","38","無効","無効","2025-07-15 16:00:18"
"鈴木花子","user54@contoso.com","16.87","50","33.7","23545","88","117","15","無効","無効","2025-07-14 16:00:18"
"小林秀樹","user55@contoso.com","33.2","50","66.4","20339","76","46","43","有効","無効","2025-07-15 16:00:18"
"鈴木花子","user56@contoso.com","13.69","50","27.4","38988","73","70","19","無効","無効","2025-07-13 16:00:18"
"吉田昌子","user57@contoso.com","47.14","50","94.3","4742","85","125","7","無効","有効","2025-07-15 16:00:18"
"中村真理","user58@contoso.com","29.25","50","58.5","19229","54","114","48","有効","無効","2025-07-13 16:00:18"
"高橋美咲","user59@contoso.com","16.4","50","32.8","21831","61","131","40","有効","無効","2025-07-10 16:00:18"
"井上雅人","user60@contoso.com","7.01","50","14","45687","52","45","28","有効","無効","2025-07-09 16:00:18"
"佐藤次郎","user61@contoso.com","44.96","50","89.9","29337","89","125","18","有効","無効","2025-07-12 16:00:18"
"伊藤光子","user62@contoso.com","7.41","50","14.8","10242","84","138","48","有効","無効","2025-07-15 16:00:18"
"高橋美咲","user63@contoso.com","46.56","50","93.1","11500","50","62","44","無効","有効","2025-07-12 16:00:18"
"中村真理","user64@contoso.com","17.46","50","34.9","20005","86","118","47","無効","有効","2025-07-09 16:00:18"
"小林秀樹","user65@contoso.com","24.93","50","49.9","41222","99","115","30","有効","無効","2025-07-12 16:00:18"
"伊藤光子","user66@contoso.com","8.96","50","17.9","18300","79","192","21","無効","有効","2025-07-14 16:00:18"
"山田和也","user67@contoso.com","23.63","50","47.3","25730","16","86","0","有効","無効","2025-07-09 16:00:18"
"吉田昌子","user68@contoso.com","10.75","50","21.5","30608","45","192","39","有効","無効","2025-07-14 16:00:18"
"松本由美","user69@contoso.com","7.29","50","14.6","1525","22","170","44","無効","無効","2025-07-13 16:00:18"
"伊藤光子","user70@contoso.com","28.8","50","57.6","24838","86","136","16","無効","無効","2025-07-09 16:00:18"
"鈴木花子","user71@contoso.com","40.77","50","81.5","37107","85","187","13","有効","無効","2025-07-09 16:00:18"
"田中太郎","user72@contoso.com","2.74","50","5.5","18759","13","109","23","無効","無効","2025-07-09 16:00:18"
"井上雅人","user73@contoso.com","24.7","50","49.4","10258","47","146","36","有効","無効","2025-07-09 16:00:18"
"山田和也","user74@contoso.com","3.78","50","7.6","26772","50","49","46","有効","有効","2025-07-10 16:00:18"
"松本由美","user75@contoso.com","34.13","50","68.3","3579","33","170","45","有効","有効","2025-07-15 16:00:18"
"佐藤次郎","user76@contoso.com","23.96","50","47.9","6089","95","170","6","有効","無効","2025-07-15 16:00:18"
"渡辺健一","user77@contoso.com","8.93","50","17.9","1798","57","136","36","有効","無効","2025-07-12 16:00:18"
"高橋美咲","user78@contoso.com","22.7","50","45.4","41928","45","126","34","無効","有効","2025-07-10 16:00:18"
"井上雅人","user79@contoso.com","31.94","50","63.9","38143","46","199","40","有効","無効","2025-07-10 16:00:18"
"伊藤光子","user80@contoso.com","16.19","50","32.4","32935","68","149","31","無効","無効","2025-07-12 16:00:18"
"吉田昌子","user81@contoso.com","29.85","50","59.7","3264","43","32","37","有効","有効","2025-07-14 16:00:18"
"小林秀樹","user82@contoso.com","2.7","50","5.4","22955","31","144","8","有効","有効","2025-07-10 16:00:18"
"山本健二","user83@contoso.com","17.92","50","35.8","23962","24","186","24","有効","無効","2025-07-12 16:00:18"
"山本健二","user84@contoso.com","16.85","50","33.7","19057","9","197","34","無効","無効","2025-07-14 16:00:18"
"井上雅人","user85@contoso.com","10.41","50","20.8","10361","17","56","5","有効","無効","2025-07-10 16:00:18"
"松本由美","user86@contoso.com","5.06","50","10.1","25455","85","53","40","無効","有効","2025-07-14 16:00:18"
"伊藤光子","user87@contoso.com","28.86","50","57.7","31666","24","34","18","無効","無効","2025-07-11 16:00:18"
"小林秀樹","user88@contoso.com","13.76","50","27.5","46823","18","129","44","有効","無効","2025-07-11 16:00:18"
"高橋美咲","user89@contoso.com","36.32","50","72.6","3747","13","185","27","無効","無効","2025-07-15 16:00:18"
"高橋美咲","user90@contoso.com","20.33","50","40.7","4601","44","28","19","無効","無効","2025-07-14 16:00:18"
"高橋美咲","user91@contoso.com","38.9","50","77.8","42789","91","27","12","有効","無効","2025-07-13 16:00:18"
"松本由美","user92@contoso.com","18.9","50","37.8","44855","98","80","31","無効","有効","2025-07-10 16:00:18"
"木村優子","user93@contoso.com","14.91","50","29.8","21072","81","31","45","無効","無効","2025-07-13 16:00:18"
"井上雅人","user94@contoso.com","48.39","50","96.8","22508","76","63","47","有効","無効","2025-07-12 16:00:18"
"井上雅人","user95@contoso.com","16.37","50","32.7","1224","83","115","45","無効","無効","2025-07-13 16:00:18"
"高橋美咲","user96@contoso.com","7.15","50","14.3","14252","95","158","45","無効","有効","2025-07-10 16:00:18"
"高橋美咲","user97@contoso.com","22.23","50","44.5","22465","40","130","14","有効","無効","2025-07-13 16:00:18"
"井上雅人","user98@contoso.com","36.54","50","73.1","40734","86","157","12","有効","有効","2025-07-14 16:00:18"
"伊藤光子","user99@contoso.com","39.78","50","79.6","30999","30","106","7","無効","無効","2025-07-14 16:00:18"
"山田和也","user100@contoso.com","0.59","50","1.2","40577","54","184","22","有効","有効","2025-07-10 16:00:18"
